station,X,Y
OMV.ABQ,-1.166,5.081
OMV.ABU,3.319,-5.412
OMV.ABV,-1.951,5.306
OMV.ACE,5.433,-0.625
OMV.ACN,-2.769,-5.099
OMV.ACO,-3.223,5.123
OMV.ADX,-5.258,-2.259
OMV.AFI,2.873,-5.382
OMV.AFT,-0.856,-5.057
OMV.AGF,5.127,0.017
OMV.AGM,-5.085,-2.822
OMV.AGS,-5.214,-2.978
OMV.AGT,5.108,-1.593
OMV.AGU,-5.16,-2.547
OMV.AHO,-5.232,-0.19
OMV.AIK,-5.092,-1.197
OMV.AIN,-5.172,1.859
OMV.AIP,-5.178,4.176
OMV.AJU,-0.957,-5.005
OMV.AKD,-5.247,0.519
OMV.AKI,-3.053,5.023
OMV.AKO,-2.794,5.105
OMV.AKQ,-5.128,-1.639
OMV.AME,-5.085,0.418
OMV.ANM,-5.445,-0.992
OMV.ANW,5.336,-1.958
OMV.APJ,5.395,1.711
OMV.AQB,-3.056,5.488
OMV.AQD,0.782,5.315
OMV.AQF,-5.181,-5.083
OMV.AQV,-0.594,5.442
OMV.AQZ,-1.765,5.199
OMV.ASR,-1.645,5.128
OMV.AUS,3.523,-5.068
OMV.AVC,5.115,-0.439
OMV.AWC,-1.308,-5.488
OMV.AWN,5.223,1.814
OMV.AXW,1.237,5.301
OMV.AYT,4.998,5.431
OMV.AZC,-1.227,5.347
OMV.BBC,-3.525,-5.12
OMV.BDD,5.451,0.522
OMV.BDY,-5.042,-3.079
OMV.BEF,-5.346,-4.985
OMV.BEG,-5.433,0.618
OMV.BFC,2.474,5.042
OMV.BGY,5.437,-1.786
OMV.BHA,5.444,3.075
OMV.BHR,-5.284,-3.169
OMV.BIF,-5.25,-5.271
OMV.BIS,-5.314,-1.069
OMV.BKE,-5.344,-4.251
OMV.BKY,2.974,-5.209
OMV.BLN,-5.489,-4.161
OMV.BMW,-5.429,3.405
OMV.BNB,5.216,0.197
OMV.BNP,-3.454,5.256
