"",station,X,Y
0,OMV.AAA,-4.723,-4.878
1,OMV.AAB,-5.281,-3.887
2,OMV.AAC,-3.372,-2.2
3,OMV.AAD,0.067,2.046
4,OMV.AAE,-3.565,1.386
5,OMV.AAF,-4.861,-5.964
6,OMV.AAG,-4.747,-0.938
7,OMV.AAH,-6.258,-4.917
8,OMV.AAI,-1.084,-4.229
9,OMV.AAJ,5.709,-1.256
10,OMV.AAK,4.153,0.355
11,OMV.AAL,5.194,1.367
12,OMV.AAM,-1.618,0.25
13,OMV.AAN,4.477,-0.298
14,OMV.AAO,-3.444,-4.705
15,OMV.AAP,-6.077,0.304
16,OMV.AAQ,1.214,2.071
17,OMV.AAR,1.394,-5.908
18,OMV.AAS,-0.801,-4.626
19,OMV.AAT,1.465,6.094
20,OMV.AAU,-0.911,-7.108
21,OMV.AAV,-7.925,-4.409
22,OMV.AAW,3.277,-4.692
23,OMV.AAX,-8.814,-2.04
24,OMV.AAY,-4.078,2.148
25,OMV.AAZ,5.095,-2.281
26,OMV.ABA,-2.523,-1.537
27,OMV.ABB,-8.668,-3.745
28,OMV.ABC,-3.006,-3.802
29,OMV.ABD,-3.644,-6.441
30,OMV.ABE,4.854,2.03
31,OMV.ABF,3.812,-0.835
32,OMV.ABG,0.125,-4.935
33,OMV.ABH,4.096,-2.623
34,OMV.ABI,-4.423,-3.208
35,OMV.ABJ,-4.595,-3.107
36,OMV.ABK,-1.771,4.509
37,OMV.ABL,0.582,-6.36
38,OMV.ABM,1.679,-5.842
39,OMV.ABN,2.362,3.254
40,OMV.ABO,7.442,1.675
41,OMV.ABP,-6.928,-0.359
42,OMV.ABQ,-1.166,5.081
43,OMV.ABR,-0.637,-1.48
44,OMV.ABS,4.073,3.044
45,OMV.ABT,-2.687,5.736
46,OMV.ABU,3.319,-5.412
47,OMV.ABV,-1.951,5.306
48,OMV.ABW,0.283,4.237
49,OMV.ABX,4.222,-2.697
50,OMV.ABY,-4.927,-1.396
51,OMV.ABZ,2.599,-4.304
52,OMV.ACA,-3.908,-6.748
53,OMV.ACB,-8.324,-1.167
54,OMV.ACC,3.638,-0.502
55,OMV.ACD,3.592,-3.718
56,OMV.ACE,5.433,-0.625
57,OMV.ACF,2.802,3.229
58,OMV.ACG,-4.99,4.068
59,OMV.ACH,3.777,-3.827
60,OMV.ACI,7.114,0.94
61,OMV.ACJ,4.23,1.7
62,OMV.ACK,3.272,2.491
63,OMV.ACL,-4.696,-3.28
64,OMV.ACM,-7.533,1.382
65,OMV.ACN,-2.769,-5.099
66,OMV.ACO,-3.223,5.123
67,OMV.ACP,-4.593,2.911
68,OMV.ACQ,-1.084,4.107
69,OMV.ACR,4.49,2.934
70,OMV.ACS,-6.826,-3.126
71,OMV.ACT,-4.325,-6.499
72,OMV.ACU,-7.216,-0.192
73,OMV.ACV,-3.415,-1.48
74,OMV.ACW,-1.016,3.835
75,OMV.ACX,-7.31,2.178
76,OMV.ACY,-5.801,3.846
77,OMV.ACZ,-0.348,2.982
78,OMV.ADA,-2.879,-5.728
79,OMV.ADB,-1.802,4.757
