station,X,Y
OMV.AAC,-3.372,-2.2
OMV.AAD,0.067,2.046
OMV.AAE,-3.565,1.386
OMV.AAI,-1.084,-4.229
OMV.AAK,4.153,0.355
OMV.AAM,-1.618,0.25
OMV.AAN,4.477,-0.298
OMV.AAQ,1.214,2.071
OMV.AAY,-4.078,2.148
OMV.ABA,-2.523,-1.537
OMV.ABC,-3.006,-3.802
OMV.ABF,3.812,-0.835
OMV.ABH,4.096,-2.623
OMV.ABI,-4.423,-3.208
OMV.ABN,2.362,3.254
OMV.ABR,-0.637,-1.48
OMV.ABS,4.073,3.044
OMV.ABW,0.283,4.237
OMV.ABX,4.222,-2.697
OMV.ABZ,2.599,-4.304
OMV.ACC,3.638,-0.502
OMV.ACD,3.592,-3.718
OMV.ACF,2.802,3.229
OMV.ACH,3.777,-3.827
OMV.ACJ,4.23,1.7
OMV.ACK,3.272,2.491
OMV.ACQ,-1.084,4.107
OMV.ACR,4.49,2.934
OMV.ACV,-3.415,-1.48
OMV.ACW,-1.016,3.835
OMV.ACZ,-0.348,2.982
OMV.ADE,3.324,1.765
OMV.ADJ,4.259,-2.517
OMV.ADK,-3.776,-1.733
OMV.ADL,-0.007,0.468
OMV.ADM,2.504,0.855
OMV.ADR,-4.227,3.855
OMV.ADT,-1.703,2.153
OMV.ADW,1.791,2.661
OMV.AEA,0.281,-2.71
OMV.AED,0.715,-2.732
OMV.AEE,-3.269,1.907
OMV.AEI,1.537,-2.518
OMV.AEJ,3.916,-1.128
OMV.AEP,3.398,-1.288
OMV.AES,2.071,1.571
OMV.AET,-0.289,2.717
OMV.AEV,-1.747,-1.064
OMV.AEY,-2.077,-1.565
OMV.AEZ,0.039,-3.495
OMV.AFB,0.47,-2.358
OMV.AFC,3.88,3.759
OMV.AFD,3.45,-2.014
OMV.AFE,3.796,-2.216
OMV.AFF,1.425,-1.526
OMV.AFG,-0.484,-1.337
OMV.AFL,-1.367,2.419
OMV.AFM,-0.033,3.261
OMV.AFN,4.386,2.071
OMV.AFO,4.123,-4.028
OMV.AFP,0.917,-0.766
OMV.AFR,-3.459,2.018
OMV.AFV,2.894,-3.773
OMV.AFW,-1.582,-3.545
OMV.AFY,1.6,-4.381
OMV.AGA,-2.884,-3.411
OMV.AGC,-2.379,2.315
OMV.AGD,-0.839,4.426
OMV.AGE,0.285,1.688
OMV.AGG,2.113,3.63
OMV.AGH,-2.946,1.256
OMV.AGK,2.591,-3.828
OMV.AGN,2.958,-4.297
OMV.AGP,2.692,3.496
OMV.AGQ,-1.962,0.219
OMV.AGR,1.358,-3.112
OMV.AGV,3.586,-1.862
OMV.AGW,3.241,1.586
OMV.AGX,2.631,3.334
OMV.AHB,4.025,-4.203
OMV.AHC,-3.972,-4.165
OMV.AHD,0.943,-4.255
OMV.AHF,1.955,-0.677
OMV.AHH,0.618,0.335
OMV.AHI,1.654,0.888
OMV.AHJ,-4.092,0.535
OMV.AHK,4.202,-3.148
OMV.AHS,-1.098,2.494
OMV.AHT,3.322,-4.254
OMV.AHU,2.85,3.662
OMV.AHW,-2.771,-1.162
OMV.AHY,-1.668,3.752
OMV.AHZ,4.086,-2.849
OMV.AIA,-2.325,4.366
OMV.AIB,0.368,-0.676
OMV.AIC,3.235,4.371
OMV.AIE,-2.697,-0.278
OMV.AII,-0.264,-1.0
OMV.AIM,1.25,-2.581
OMV.AIO,-0.192,-4.287
OMV.AIT,-1.9,0.646
OMV.AIW,-1.331,3.325
OMV.AIX,-2.806,-2.299
OMV.AJC,-0.409,3.25
OMV.AJE,-4.057,-1.337
OMV.AJH,-2.148,-0.135
OMV.AJN,-2.648,-1.696
OMV.AJQ,-4.251,2.248
OMV.AJR,-2.465,2.365
OMV.AJS,2.888,-0.527
OMV.AJV,1.734,-1.011
OMV.AJZ,-0.825,-2.528
OMV.AKA,-4.376,0.006
OMV.AKC,4.04,-0.274
OMV.AKJ,2.021,-3.495
OMV.AKM,-3.453,3.324
OMV.AKN,0.213,1.961
OMV.AKP,2.169,2.209
OMV.AKR,0.717,2.825
OMV.AKT,0.09,4.164
OMV.AKW,0.376,0.709
OMV.AKY,0.695,1.447
OMV.ALA,-0.918,2.389
OMV.ALC,1.034,-0.603
OMV.ALI,2.861,-1.438
OMV.ALJ,1.418,-0.827
OMV.ALK,-1.202,-0.919
OMV.ALL,1.219,4.386
OMV.ALM,0.255,-1.537
OMV.ALN,-3.515,-4.431
OMV.ALR,4.062,-2.144
OMV.ALU,-3.113,-3.74
OMV.ALV,-0.71,-3.984
OMV.ALY,-0.673,-0.764
OMV.ALZ,2.204,-2.212
OMV.AMA,4.258,3.073
OMV.AMB,2.977,0.347
OMV.AMC,1.185,3.699
OMV.AMD,3.854,2.614
OMV.AMH,-1.226,-1.599
OMV.AMJ,-0.781,1.846
OMV.AMP,3.716,4.316
OMV.AMS,-0.364,-1.408
OMV.AMY,4.345,-3.0
OMV.ANA,3.191,-3.252
OMV.ANB,-3.006,-2.413
OMV.AND,-0.48,-0.414
OMV.ANE,3.694,2.708
OMV.ANF,3.478,-4.346
OMV.ANG,-3.962,-1.624
OMV.ANJ,1.609,-0.012
OMV.ANK,-0.067,-1.812
OMV.ANN,-3.214,-3.913
OMV.ANQ,2.5,-2.848
OMV.ANR,-1.246,-4.366
OMV.ANX,2.793,-2.788
OMV.ANY,-1.251,1.889
OMV.ANZ,-4.088,1.227
OMV.AOA,0.191,3.132
OMV.AOB,-2.495,-3.87
OMV.AOC,1.45,-1.077
OMV.AOD,2.585,0.341
OMV.AOE,-2.033,0.493
OMV.AOF,2.271,-0.861
OMV.AOH,4.196,4.035
OMV.AOJ,-1.612,-0.216
